requester_id,requester_received_pizza
requester_3030,0.46
requester_3031,0.42
requester_3040,0.14
requester_3130,0.22
requester_4030,0.22
requester_4031,0.16709511568123403
requester_4032,0.16
requester_4033,0.16709511568123403
requester_4034,0.16709511568123403
requester_4035,0.46
requester_4036,0.12
requester_4037,0.1
requester_4038,0.14
requester_4039,0.24
requester_3131,0.22
requester_3132,0.16709511568123403
requester_3133,0.28
requester_3134,0.42
requester_3135,0.28
requester_3136,0.16709511568123403
requester_3137,0.64
requester_3138,0.4
requester_3139,0.22
requester_3041,0.92
requester_3140,0.16709511568123403
requester_3141,0.16709511568123403
requester_3142,0.54
requester_3143,0.22
requester_3144,0.12
requester_3145,0.32
requester_3146,0.22
requester_3147,0.16709511568123403
requester_3148,0.16709511568123403
requester_3149,0.24
requester_3042,0.16709511568123403
requester_3150,0.44
requester_3151,0.1
requester_3152,0.0
requester_3153,0.04
requester_3154,0.18
requester_3155,0.16709511568123403
requester_3156,0.12
requester_3157,0.42
requester_3158,0.28
requester_3159,0.58
requester_3043,0.08
requester_3160,0.62
requester_3161,0.1
requester_3162,0.3
requester_3163,0.28
requester_3164,0.38
requester_3165,0.10857142857142858
requester_3166,0.14
requester_3167,0.04
requester_3168,0.24
requester_3169,0.16709511568123403
requester_3044,0.16709511568123403
requester_3170,0.3
requester_3171,0.58
requester_3172,0.56
requester_3173,0.24
requester_3174,0.16709511568123403
requester_3175,0.36
requester_3176,0.16709511568123403
requester_3177,0.06
requester_3178,0.4
requester_3179,0.06
requester_3045,0.3
requester_3180,0.18
requester_3181,0.44
requester_3182,0.0
requester_3183,0.38
requester_3184,0.18
requester_3185,0.3
requester_3186,0.16709511568123403
requester_3187,0.28
requester_3188,0.16709511568123403
requester_3189,0.14
requester_3046,0.22
requester_3190,0.18
requester_3191,0.44
requester_3192,0.22
requester_3193,0.46
requester_3194,0.44
requester_3195,0.18
requester_3196,0.1
requester_3197,0.23523809523809525
requester_3198,0.24
requester_3199,0.2
requester_3047,0.16709511568123403
requester_3200,0.14
requester_3201,0.62
requester_3202,0.46
requester_3203,0.18
requester_3204,0.16709511568123403
requester_3205,0.2
requester_3206,0.4
requester_3207,0.5
requester_3208,0.24
requester_3209,0.46
requester_3048,0.18
requester_3210,0.26
requester_3211,0.16
requester_3212,0.1
requester_3213,0.54
requester_3214,0.36
requester_3215,0.26
requester_3216,0.46
requester_3217,0.22
requester_3218,0.06
requester_3219,0.16709511568123403
requester_3049,0.16709511568123403
requester_3220,0.22
requester_3221,0.66
requester_3222,0.44
requester_3223,0.22
requester_3224,0.2
requester_3225,0.16709511568123403
requester_3226,0.18
requester_3227,0.16709511568123403
requester_3228,0.6
requester_3229,0.0
requester_3032,0.18
requester_3050,0.74
requester_3230,0.12
requester_3231,0.14
requester_3232,0.16709511568123403
requester_3233,0.16
requester_3234,0.22
requester_3235,0.16709511568123403
requester_3236,0.58
requester_3237,0.48
requester_3238,0.38
requester_3239,0.16709511568123403
requester_3051,0.1
requester_3240,0.16709511568123403
requester_3241,0.04
requester_3242,0.16709511568123403
requester_3243,0.16709511568123403
requester_3244,0.58
requester_3245,0.5
requester_3246,0.3
requester_3247,0.18
requester_3248,0.36
requester_3249,0.14
requester_3052,0.64
requester_3250,0.16709511568123403
requester_3251,0.12
requester_3252,0.02
requester_3253,0.16709511568123403
